Proteins	Genes	Accession-1 of Gene	Common-Name
LYSU-CPLX	EG10553	b4129	lysU
EG11817-MONOMER	EG11817	b2744	umpG
MONOMER0-4534	G6577	b1120	cobB
FDOI-MONOMER	EG11856	b3892	fdoI
G6991-MONOMER	G6991	b1807	tsaB
ADENODEAMIN-MONOMER	EG10030	b1623	add
EG10875-MONOMER	EG10875	b3310	rplN
G7586-MONOMER	G7586	b3047	yqiH
G6284-MONOMER	G6284	b0515	allE
MONOMER0-2842	G0-10617	b4662	sgrT
G7466-MONOMER	G7466	b2846	yqeH
EG11763-MONOMER	EG11763	b3596	yibG
G6605-MONOMER	G6605	b1165	ymgA
EG11186-MONOMER	EG11186	b3562	yiaA
G7516-MONOMER	G7516	b2919	scpB
HCAC-MONOMER	G7334	b2540	hcaC
NARG-MONOMER	EG10638	b1224	narG
MONOMER0-2877	G0-10650	b4683	yqeL
EG12704-MONOMER	EG12704	b2956	yggM
EG10426-MONOMER	EG10426	b0962	helD
G7292-MONOMER	G7292	b2462	eutS
G7009-MONOMER	G7009	b1836	yebV
MONOMER0-4431	G0-16747	b4753	yqfH
EG10829-MONOMER	EG10829	b3652	recG
EG10996-MONOMER	EG10996	b0406	tgt
YBBP-MONOMER	G6270	b0496	ybbP
MONOMER0-4227	G6146	b0275	insA3
EG10867-MONOMER	EG10867	b3319	rplD
EG11153-MONOMER	EG11153	b2608	rimM
EG10438-MONOMER	EG10438	b4172	hfq
DALADALALIGB-MONOMER	EG10214	b0092	ddlB
YGJU-MONOMER	EG12732	b3089	sstT
EG12394-MONOMER	EG12394	b1778	msrB
TORS-MONOMER	G6514	b0993	torS
IMP-DEHYDROG-MONOMER	EG10421	b2508	guaB
G7539-MONOMER	G7539	b2972	pppA
EG10760-MONOMER	EG10760	b1830	prc
G7323-MONOMER	G7323	b2520	yfhM
EG12242-MONOMER	EG12242	b3515	gadW
EG11462-MONOMER	EG11462	b4482	yigE
EG10342-MONOMER	EG10342	b0093	ftsQ
ADENYLYLSULFKIN-MONOMER	EG10185	b2750	cysC
EG10776-MONOMER	EG10776	b1304	pspA
PROW-MONOMER	EG10772	b2678	proW
EG12444-MONOMER	EG12444	b1110	ycfJ
EG11877-MONOMER	EG11877	b3923	uspD
GNTT-MONOMER	EG12380	b3415	gntT
B2372-MONOMER	G7235	b2372	yfdV
ERYTH4PDEHYDROG-MONOMER	EG10368	b2927	epd
TRYPSYN-APROTEIN	EG11024	b1260	trpA
RHAMNULOKIN-MONOMER	EG11868	b3904	rhaB
EG11300-MONOMER	EG11300	b1571	ydfA
MONOMER0-4224	G0-10716	b4706	iroK
GLND-MONOMER	EG11411	b0167	glnD
G7511-MONOMER	G7511	b2898	ygfZ
EG11507-MONOMER	EG11507	b3179	rlmE
YEEF-MONOMER	EG11896	b2014	plaP
G6908-MONOMER	G6908	b1682	sufC
EG11488-MONOMER	EG11488	b1639	mliC
G7543-MONOMER	G7543	b2977	glcG
G7871-MONOMER	G7871	b4216	ytfJ
RIBOFLAVIN-SYN-MONOMER	EG11406	b1662	ribC
G7952-MONOMER	G7952	b4378	yjjV
MONOMER0-4242	G6224	b0373	insE2
G7279-MONOMER	G7279	b2449	yffR
YJGT-MONOMER	EG12539	b4265	idnT
EG12410-MONOMER	EG12410	b2467	nudK
EG11551-MONOMER	EG11551	b2712	hypF
MONOMER0-2875	G0-10648	b4675	yoaJ
G6181-MONOMER	G6181	b0316	yahB
EG11298-MONOMER	EG11298	b3248	yhdE
CYDD-MONOMER	EG11405	b0887	cydD
MONOMER0-2870	G0-10643	b4678	yoeI
EG11725-MONOMER	EG11725	b3715	yieH
G7642-MONOMER	G7642	b3147	lpoA
MONOMER0-4506	G0-17040	b4794	baxL
YHJX-MONOMER	EG12268	b3547	yhjX
G7473-MONOMER	G7473	b2853	ygeI
MONOMER0-4239	G7548	b2982	insH9
G6811-MONOMER	G6811	b1525	sad
G7068-MONOMER	G7068	b1983	yeeN
EG10228-MONOMER	EG10228	b1569	dicC
ILES-MONOMER	EG10492	b0026	ileS
FRWC-MONOMER	EG11908	b3949	frwC
G6540-MONOMER	G6540	b1034	ycdX
MONOMER0-4421	G0-16738	b4744	ynaM
EG12330-MONOMER	EG12330	b0147	thpR
G6677-MONOMER	G6677	b1346	xisR
SDH-MEMB2	EG10934	b0722	sdhD
EG10596-MONOMER	EG10596	b1176	minC
G6947-MONOMER	G6947	b1752	ydjZ
EG20249-MONOMER	EG20249	b4324	uxuR
EG10580-MONOMER	EG10580	b2328	mepA
MONOMER0-4216	G0-10715	b4705	mntS
EG11301-MONOMER	EG11301	b1572	ydfB
G6498-MONOMER	G6498	b0964	csgI
EG11009-MONOMER	EG11009	b3035	tolC
EG10912-MONOMER	EG10912	b3298	rpsM
GLU-UHPC	EG11053	b3667	uhpC
G6889-MONOMER	G6889	b1649	nemR
ARSF-MONOMER	EG12236	b3502	arsB
EG10436-MONOMER	EG10436	b4174	hflK
G7531-MONOMER	G7531	b2955	hemW
MONOMER0-4412	G0-16730	b4735	ybgU
EG10116-MONOMER	EG10116	b3723	bglG
G7634-MONOMER	G7634	b3136	agaS
EG10216-MONOMER	EG10216	b2317	dedA
EG12202-MONOMER	EG12202	b4241	treR
G7134-MONOMER	G7134	b2102	yegX
EG12205-MONOMER	EG12205	b1558	cspF
EG12605-MONOMER	EG12605	b0119	yacL
COBU-MONOMER	EG13238	b1993	cobU
PD03270	EG12739	b3094	exuR
EG10507-MONOMER	EG10507	b0537	intD
BIOTINLIG-MONOMER	EG10123	b3973	birA
MONOMER0-2869	G0-10642	b4670	yjeV
MONOMER0-4521	EG10605	b0149	mrcB
TRANSKETOI-MONOMER	EG11427	b2935	tktA
N-ACETYLTRANSFER-MONOMER	EG10063	b2818	argA
EG12251-MONOMER	EG12251	b3524	yhjG
G6536-MONOMER	G6536	b1029	ycdU
CADB-MONOMER	EG10132	b4132	cadB
G7356-MONOMER	EG12442	b4461	yfjD
PD00230	EG10029	b2213	ada
G6325-MONOMER	G6325	b0580	ybdJ
G7108-MONOMER	G7108	b2063	yegH
G7838-MONOMER	G7838	b4157	yjeN
FUCP-MONOMER	EG10352	b2801	fucP
G7088-MONOMER	G7088	b2015	yeeY
G6901-MONOMER	G6901	b1673	ydhV
G6464-MONOMER	G6464	b0890	ftsK
EG12214-MONOMER	EG12214	b3468	yhhN
G7931-MONOMER	G7931	b4334	yjiL
EG11311-MONOMER	EG11311	b3260	dusB
KDPD-MONOMER	EG10516	b0695	kdpD
EG12310-MONOMER	EG12310	b2523	pepB
G6499-MONOMER	G6499	b0965	yccU
G6544-MONOMER	G6544	b1038	csgF
G6639-MONOMER	G6639	b1285	pdeR
MONOMER0-4448	G7480	b2860	insD4
YLIA-MONOMER	G6429	b0829	gsiA
G7245-MONOMER	G7245	b2382	ypdC
G7575-MONOMER	G7575	b3025	qseB
MONOMER0-144	G7305	b2488	hyfH
KETOBUTFORMLY-INACT-MONOMER	G7627	b3114	tdcE
G6551-MONOMER	G6551	b1046	clsC
EG10833-MONOMER	EG10833	b3822	recQ
EG11691-MONOMER	EG11691	b3664	adeQ
KGTP-MONOMER	EG10522	b2587	kgtP
MONOMER0-1001	G0-9081	b4526	ydaE
MONOMER0-2677	G0-10455	b4537	yecJ
EG11389-MONOMER	EG11389	b1926	fliT
G7456-MONOMER	G7456	b2812	tcdA
ERYTHRON4PDEHYDROG-MONOMER	G0-9461	b2320	pdxB
NANE-MONOMER	G7677	b3223	nanE
DPPA-MONOMER	EG10248	b3544	dppA
EG10490-MONOMER	EG10490	b2916	argP
HEMEOSYN-MONOMER	EG10182	b0428	cyoE
EG12342-MONOMER	EG12342	b4385	hipH
YHES-MONOMER	EG12903	b3352	yheS
G7864-MONOMER	G7864	b4206	ytfB
G6720-MONOMER	G6720	b1399	paaX
G6456-MONOMER	G6456	b0872	hcr
G7099-MONOMER	G7099	b2054	wcaF
CYOD-MONOMER	EG10181	b0429	cyoD
NHAB-MONOMER	EG11392	b1186	nhaB
MONOMER0-2814	G0-10585	b4589	ylcI
EG12044-MONOMER	EG12044	b2183	rsuA
G7704-MONOMER	G7704	b3326	gspE
G6920-MONOMER	G6920	b1697	ydiQ
EG11649-MONOMER	EG11649	b0208	yafC
MONOMER0-4536	EG10125	b0435	bolA
EG12210-MONOMER	EG12210	b3620	waaF
NUOH-MONOMER	EG12088	b2282	nuoH
UROGENIIISYN-MONOMER	EG10430	b3804	hemD
AROP-MONOMER	EG10084	b0112	aroP
G6591-MONOMER	G6591	b1147	ymfL
G6860-MONOMER	G6860	b1604	ydgH
EG11436-MONOMER	EG11436	b4269	ahr
G7281-MONOMER	G7281	b2451	eutA
G6374-MONOMER	G6374	b0689	ybfP
G7031-MONOMER	G7031	b1895	uspC
KUP-MONOMER	EG11541	b3747	kup
EG12267-MONOMER	EG12267	b3546	eptB
EG11414-MONOMER	EG11414	b4372	holD
G7039-MONOMER	G7039	b1920	tcyJ
G7197-MONOMER	G7197	b2305	rpnB
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	EG11377	b3018	plsC
GPT-MONOMER	EG10414	b0238	gpt
EG12104-MONOMER	EG12104	b2173	yeiR
YJHB-MONOMER	EG12544	b4279	nanX
CHAA-MONOMER	EG11753	b1216	chaA
G7314-MONOMER	G7314	b2503	pdeF
G7037-MONOMER	G7037	b1918	tcyL
B0270-MONOMER	G6142	b0270	yagG
G7425-MONOMER	G7425	b2755	cas1
GSP-MONOMER	EG12882	b2988	gss
EG10841-MONOMER	EG10841	b1924	fliD
FEPG-MONOMER	EG10298	b0589	fepG
NARK-MONOMER	EG10642	b1223	narK
EG11201-MONOMER	EG11201	b3810	yigA
EG11179-MONOMER	EG11179	b3170	rimP
CPXR-MONOMER	EG10020	b3912	cpxR
EG11215-MONOMER	EG11215	b4363	yjjB
DIHYDROFOLATEREDUCT-MONOMER	EG10326	b0048	folA
G6665-MONOMER	G6665	b1329	mppA
EG11276-MONOMER	EG11276	b3707	tnaC
PHOSPHO-EVGA	EG11609	b2369	evgA
KDGALDOL-MONOMER	EG10016	b3126	garL
MONOMER0-2859	G0-10633	b4667	ibsA
EG10346-MONOMER	EG10346	b3464	ftsY
G6452-MONOMER	G6452	b0867	amiD
EG11474-MONOMER	EG11474	b3834	ubiJ
G7240-MONOMER	G7240	b2377	yfdY
G6924-MONOMER	G6924	b1706	selO
EG10158-MONOMER	EG10158	b0437	clpP
XYLG-MONOMER	EG12275	b3567	xylG
EG12004-MONOMER	EG12004	b2123	yehR
MONOMER0-2821	G0-10593	b4601	ydgU
CELC-MONOMER	EG10142	b1736	chbA
HOMSUCTRAN-MONOMER	EG10581	b4013	metA
G6557-MONOMER	G6557	b1060	bssS
EG10748-MONOMER	EG10748	b3396	mrcA
EG11829-MONOMER	EG11829	b3857	mobA
G6805-MONOMER	G6805	b1518	lsrG
MONOMER0-1562	G0-41	b4410	ecnA
G361-MONOMER	G361	b1076	flgE
EG11861-MONOMER	EG11861	b3897	frvR
EG10456-MONOMER	EG10456	b2552	hmp
UUP-MONOMER	G6489	b0949	uup
G7741-MONOMER	G7741	b3398	igaA
PD03254	EG10254	b3075	ebgR
G6156-MONOMER	G6156	b0285	paoB
TSR-MONOMER	EG11034	b4355	tsr
G6356-MONOMER	G6356	b0649	djlC
MONOMER0-2692	G0-10470	b4557	yidD
PD00222	EG10842	b3906	rhaR
G6982-MONOMER	G6982	b1796	yoaG
EG12244-MONOMER	EG12244	b3518	ccp
MONOMER0-4564	EG12342	b4385	hipH
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	EG20049	b4477	dgoA
ANTHRANSYNCOMPI-MONOMER	EG11028	b1264	trpE
G7738-MONOMER	G7738	b3394	hofN
EG11933-MONOMER	EG11933	b4050	pspG
G6848-MONOMER	G6848	b1590	ynfH
KDPB-MONOMER	EG10514	b0697	kdpB
BETAGALACTOSID-MONOMER	EG10527	b0344	lacZ
PD02198	EG10935	b1916	sdiA
G7001-MONOMER	G7001	b1825	yebO
MONOMER0-2761	G0-10541	G0-10541	insCD1
MALE-MONOMER	EG10554	b4034	malE
EG11410-MONOMER	EG11410	b4234	yjgA
G6634-MONOMER	G6634	b1266	rnm
G7821-MONOMER	G7821	b4089	alsR
EG11355-MONOMER	EG11355	b1922	fliA
EG10153-MONOMER	EG10153	b0827	moeA
THIOESTERI-MONOMER	EG11542	b0494	tesA
RSSB-P	EG12121	b1235	rssB
EG11011-MONOMER	EG11011	b0738	tolR
G7087-MONOMER	G7087	b2007	tmaR
EG12405-MONOMER	EG12405	b1220	ychO
EG11292-MONOMER	EG11292	b3003	yghA
G7472-MONOMER	G7472	b2852	ygeH
G7626-MONOMER	G7626	b3113	tdcF
MONOMER0-4345	G0-16637	b4710	insB9
EG10534-MONOMER	EG10534	b2411	ligA
FUMC-MONOMER	EG10358	b1611	fumC
ASPCARBREG-MONOMER	EG10811	b4244	pyrI
G6216-MONOMER	G6216	b0364	yaiS
G7251-MONOMER	G7251	b2389	yfeO
EG10460-MONOMER	EG10460	b4348	hsdS
YJCW-MONOMER	EG11959	b4087	alsA
G7242-MONOMER	G7242	b2379	alaC
FSR-MONOMER	G6256	b0479	fsr
ACRB-MONOMER	EG11704	b0462	acrB
G7218-MONOMER	G7218	b2349	intS
G7436-MONOMER	G7436	b2770	ygcR
MONOMER0-141	G7301	b2484	hyfD
EG12710-MONOMER	EG12710	b1962	yedJ
EG11008-MONOMER	EG11008	b0740	tolB
G7126-MONOMER	G6169	b0299	insF1
EG12181-MONOMER	EG12181	b1654	grxD
EG10943-MONOMER	EG10943	b1764	selD
G7762-MONOMER	G6085	b0021	insB1
EG10634-MONOMER	EG10634	b0675	umpH
G6865-MONOMER	G6865	b1614	ydgA
EG12203-MONOMER	EG12203	b1557	cspB
EG10715-MONOMER	EG10715	b4102	phnF
YIDC	EG11197	b3705	yidC
PHOSNACMURPENTATRANS-MONOMER	EG10604	b0087	mraY
G7358-MONOMER	G7358	b2619	ratA
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	EG11675	b0134	panB
GLUCONREDUCT-MONOMER	G7892	b4266	idnO
PD00242	EG10054	b0064	araC
MONOMER0-4403	G0-16721	b4726	yabR
G6457-MONOMER	G6457	b0873	hcp
EG11058-MONOMER	EG11058	b2580	ung
G6658-MONOMER	G6658	b1320	ycjW
EG11113-MONOMER	EG11113	b0970	yccA
G7440-MONOMER	G7440	b2774	ygcW
EG12105-MONOMER	EG12105	b2157	yeiE
G7669-MONOMER	G7669	b3211	yhcC
EG11982-MONOMER	EG11982	b2035	wbbH
ARTP-MONOMER	EG11624	b0864	artP
G6986-MONOMER	G6986	b1800	dmlA
ARYLSULFAT-MONOMER	EG10089	b3801	aslA
PD00519	EG10531	b0076	leuO
G6769-MONOMER	G6769	b1462	yddH
EG12404-MONOMER	EG12404	b1219	ychN
PROTEIN-PII2	EG12191	b0450	glnK
G6624-MONOMER	G6624	b1195	ymgE
G6269-MONOMER	G6269	b0493	ybbO
G6884-MONOMER	G6884	b1644	ydhJ
NRDF-MONOMER	EG12381	b2676	nrdF
SBMA-MONOMER	EG10928	b0377	sbmA
EG11423-MONOMER	EG11423	b3623	waaU
MONOMER0-4233	G7905	b4284	insI3
EG11989-MONOMER	EG11989	b2110	yehC
APPA-MONOMER	EG10049	b0980	appA
YGJI-MONOMER	EG12720	b3078	ygjI
YCBE-MONOMER	EG12358	b0933	ssuB
GARTRANSFORMYL2-MONOMER	EG11809	b1849	purT
EG11517-MONOMER	EG11517	b3925	glpX
PD00969	EG10268	b0566	envY
B0511-MONOMER	G6280	b0511	allW
EG12128-MONOMER	EG12128	b2828	lgt
EG10003-MONOMER	EG10003	b2413	cysZ
YDHC-MONOMER	EG12141	b1660	punC
EG10155-MONOMER	EG10155	b2155	cirA
EG12094-MONOMER	EG12094	b0069	sgrR
G7098-MONOMER	G7098	b2047	wcaJ
EG10689-MONOMER	EG10689	b2743	pcm
G6528-MONOMER	G6528	b1021	pgaD
G7834-MONOMER	G7834	b4144	yjeI
MONOMER0-4231	G0-10538	G0-10538	insAB3
MONOMER0-2657	G0-10435	b4509	ylcG
PD00347	EG10440	b1712	ihfA
EMRE-MONOMER	EG10629	b0543	emrE
MONOMER0-4409	G0-16727	b4732	ykiD
G6554-MONOMER	G6554	b1057	yceJ
G7549-MONOMER	G7549	b2983	yghQ
EG11644-MONOMER	EG11644	b1536	ydeI
PHOSACETYLTRANS-MONOMER	EG20173	b2297	pta
G6171-MONOMER	G6171	b0301	rclC
EG10746-MONOMER	EG10746	b3863	polA
G6832-MONOMER	G6832	b1565	ydfV
EG12207-MONOMER	EG12207	b1822	rlmA
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	EG10107	b3572	avtA
YHIH-MONOMER	EG12223	b3486	rbbA
MONOMER0-4494	G0-17028	b4782	pssL
EG10665-MONOMER	EG10665	b3169	nusA
PANTOATE-BETA-ALANINE-LIG-MONOMER	EG11746	b0133	panC
TYRB-MONOMER	EG11040	b4054	tyrB
IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER	EG10445	b2022	hisB
G7367-MONOMER	G7367	b2632	yfjP
EG12273-MONOMER	EG12273	b3554	yiaF
RHAMNULPALDOL-MONOMER	EG11866	b3902	rhaD
PSTB-MONOMER	EG10783	b3725	pstB
EG12042-MONOMER	EG12042	b2181	yejG
EG12345-MONOMER	EG12345	b1539	ydfG
G6212-MONOMER	G6212	b0360	insC1
EG11969-MONOMER	EG11969	b3292	zntR
EG12325-MONOMER	EG12325	b0136	yadK
DEOXYGLUCONOKIN-MONOMER	EG12253	b3526	kdgK
EG10471-MONOMER	EG10471	b0975	hyaD
EG11219-MONOMER	EG11219	b1419	ydcA
EG11991-MONOMER	EG11991	b2112	yehE
EG10043-MONOMER	EG10043	b4214	cysQ
G6946-MONOMER	G6946	b1751	ydjY
EG10144-MONOMER	EG10144	b1734	chbF
MONOMER0-2686	G0-10464	b4548	ypjJ
G6157-MONOMER	G6157	b0286	paoA
RHAMNISOM-MONOMER	EG11867	b3903	rhaA
NAG1P-URIDYLTRANS-MONOMER	EG11198	b3730	glmU
PD00440	EG10291	b4293	fecI
G7128-MONOMER	G7128	b2095	gatZ
G7296-MONOMER	G7296	b2473	ypfH
ARTI-MONOMER	EG11625	b0863	artI
ATPH-MONOMER	EG10105	b3735	atpH
G377-MONOMER	G377	b1941	fliI
G6700-MONOMER	G6700	b1377	ompN
EG12169-MONOMER	EG12169	b2198	ccmD
PD00200	EG10503	b3773	ilvY
MONOMER0-2726	G0-10511	b4502	yeiW
MONOMER0-4450	G7762	b3445	insB6
UHPB-MONOMER	EG11052	b3668	uhpB
FEPD-MONOMER	EG10296	b0590	fepD
G6851-MONOMER	G6851	b1593	bidA
MONOMER0-4419	G0-16737	b4742	ymjE
EG11811-MONOMER	EG11811	b4187	aidB
G6509-MONOMER	G6509	b0988	insB4
MDLB-MONOMER	EG11622	b0449	mdlB
G6708-MONOMER	G6708	b1387	paaZ
EG11277-MONOMER	EG11277	b0001	thrL
PITB-MONOMER	EG12883	b2987	pitB
G7329-MONOMER	G7329	b2535	csiE
EG11665-MONOMER	EG11665	b3057	bacA
EG11984-MONOMER	EG11984	b2033	wbbJ
G6108-MONOMER	G6108	b0224	dpaA
G7695-MONOMER	G7695	b3267	yhdV
G6290-MONOMER	G6290	b0530	sfmA
EG11291-MONOMER	EG11291	b2936	loiP
EG10244-MONOMER	EG10244	b4362	dnaT
GCVH-MONOMER	EG10371	b2904	gcvH
EG10125-MONOMER	EG10125	b0435	bolA
G7185-MONOMER	G7185	b2291	yfbR
NARI-MONOMER	EG10640	b1227	narI
MONOMER0-2695	G0-10473	b4566	topAI
G6097-MONOMER	G6097	b0189	rof
YBHF-MONOMER	G6411	b0794	ybhF
RED-THIOREDOXIN2-MONOMER	EG11887	b2582	trxC
CYTIDEAM-MONOMER	EG10137	b2143	cdd
B1690-MONOMER	G6916	b1690	ydiM
G6685-MONOMER	G6685	b1361	ydaW
G8210-MONOMER	G8210	b2702	srlA
MONOMER0-153	EG11282	b2482	hyfB
PNUC-MONOMER	EG11700	b0751	pnuC
MONOMER0-4540	G0-17087	b4812	timP
F16B-MONOMER	EG10283	b4232	fbp
EG10824-MONOMER	EG10824	b2820	recB
EG11564-MONOMER	EG11564	b0043	fixC
G379-MONOMER	G379	b1943	fliK
MODB-MONOMER	EG10002	b0764	modB
PD01896	G6852	b1594	mlc
TRKA-MONOMER	EG11019	b3290	trkA
EG11432-MONOMER	EG11432	b2399	yfeD
G6948-MONOMER	G6948	b1753	ynjA
EG11639-MONOMER	EG11639	b1533	eamA
G7595-MONOMER	G7595	b3072	aer
EG11508-MONOMER	EG11508	b1480	sra
G6511-MONOMER	G6511	b0990	cspG
B1828-MONOMER	G7004	b1828	yebQ
PD00291	EG11421	b0338	cynR
EG10877-MONOMER	EG10877	b3313	rplP
SBP-MONOMER	EG10929	b3917	sbp
G7014-MONOMER	G7014	b1841	yobA
SAMDC-ALPHA-MONOMER	EG10962	b0120	speD
B2775-MONOMER	EG13174	b2775	yqcE
G7518-MONOMER	G7518	b2921	srsR
G7582-MONOMER	G7582	b3042	ubiK
EG10757-MONOMER	EG10757	b3363	ppiA
EG10467-MONOMER	EG10467	b0440	hupB
MHPCHYDROL-MONOMER	M012	b0349	mhpC
G7219-MONOMER	G7219	b2350	yfdG
G7662-MONOMER	G7662	b3197	kdsD
G7745-MONOMER	G7745	b3402	yhgE
EG10847-MONOMER	EG10847	b3482	rhsB
EG11779-MONOMER	EG11779	b2960	trmB
G6529-MONOMER	G6529	b1022	pgaC
G7675-MONOMER	G7675	b3221	nanQ
G6438-MONOMER	G6438	b0838	gstB
EG10696-MONOMER	EG10696	b0932	pepN
B1006-MONOMER	G6517	b1006	rutG
G6702-MONOMER	G6702	b1379	hslJ
OMPR-MONOMER	EG10672	b3405	ompR
G6503-MONOMER	G6503	b0982	etp
EG10308-MONOMER	EG10308	b4314	fimA
PEPSYNTH-MONOMER	EG10759	b1702	ppsA
SDH-FE-S	EG10932	b0724	sdhB
MELB-MONOMER	EG10578	b4120	melB
PYRUVFORMLY-MONOMER	EG10701	b0903	pflB
YDEY-MONOMER	G6801	b1514	lsrC
MONOMER0-4166	EG10487	b2730	hypE
EG12043-MONOMER	EG12043	b2187	yejL
ACP-MONOMER	EG50003	b1094	acpP
EG12845-MONOMER	EG12845	b2754	cas2
G7146-MONOMER	G7146	b2174	lpxT
G7370-MONOMER	G7370	b2635	ypjK
PHOSPHO-CHEY	EG10150	b1882	cheY
G6567-MONOMER	G6567	b1107	nagZ
SORB6PDEHYDROG-MONOMER	EG10971	b2705	srlD
G7491-MONOMER	G7491	b2872	ygeY
NAPC-MONOMER	EG12060	b2202	napC
MONOMER0-2871	G0-10644	b4677	yobI
G6846-MONOMER	G6846	b1588	ynfF
G7599-MONOMER	G7599	b3080	ygjK
G6259-MONOMER	G6259	b0483	ybaQ
THIOREDOXIN-REDUCT-NADPH-MONOMER	EG11032	b0888	trxB
G6319-MONOMER	G6319	b0571	cusR
MONOMER0-4189	EG12385	b2216	rcsD
GLUTDECARBOXA-MONOMER	EG50009	b3517	gadA
G7882-MONOMER	G7882	b4251	bdcR
G7007-MONOMER	G7007	b1834	letB
MONOMER0-2001	EG10207	b0166	dapD
DXPREDISOM-MONOMER	EG12715	b0173	dxr
FCL-MONOMER	EG11788	b2052	fcl
G6199-MONOMER	G6199	b0334	prpD
EG10845-MONOMER	EG10845	b3783	rho
EG12259-MONOMER	EG12259	b3532	bcsB
G7246-MONOMER	G7246	b2383	fryA
G6309-MONOMER	G6309	b0554	essD
YDCT-MONOMER	G6752	b1441	ydcT
G7350-MONOMER	G7350	b2584	patZ
EG10238-MONOMER	EG10238	b0184	dnaE
PFLACTENZ-MONOMER	EG10028	b0902	pflA
G7205-MONOMER	G7205	b2334	yfcQ
EG12691-MONOMER	EG12691	b1280	lapB
G7686-MONOMER	G7686	b3241	aaeA
G7520-MONOMER	G7520	b4465	yggP
G7117-MONOMER	G7117	b2080	yegP
EG11545-MONOMER	EG11545	b1083	flgL
PNTB-MONOMER	EG10745	b1602	pntB
G7327-MONOMER	G7327	b2532	trmJ
G6742-MONOMER	G6742	b1431	ydcL
B2845-MONOMER	G7465	b2845	yqeG
AROA-MONOMER	EG10073	b0908	aroA
SAPC-MONOMER	G2000	b1292	sapC
EG11086-MONOMER	EG11086	b0083	ftsL
G6640-MONOMER	G6640	b1287	yciW
HYDH-MONOMER	EG10008	b4003	zraS
EG11923-MONOMER	EG11923	b4026	yjbE
G7534-MONOMER	G7534	b2966	yqgA
PHOSPHO-NARL	EG10643	b1221	narL
EG12338-MONOMER	EG12338	b0267	yagA
KDOTRANS-MONOMER	EG10520	b3633	waaA
EG10613-MONOMER	EG10613	b0914	msbA
YTFQ-MONOMER	EG12517	b4227	ytfQ
MONOMER0-4487	G0-17021	b4775	mgtT
YLIB-MONOMER	G6430	b0830	gsiB
MGLA-MONOMER	EG10592	b2149	mglA
G7945-MONOMER	G7945	b4358	lgoD
MHPT-MONOMER	G6206	b0353	mhpT
MONOMER0-4236	G6667	b1331	insH4
DIOHBUTANONEPSYN-MONOMER	EG10465	b3041	ribB
G6794-MONOMER	G6794	b1504	ydeS
G7536-MONOMER	G7536	b2969	yghE
MONOMER0-1541	G0-9541	b4487	yjdP
EG11521-MONOMER	EG11521	b0699	ybfA
XYLH-MONOMER	EG12276	b3568	xylH
G6437-MONOMER	G6437	b0837	yliI
EG11007-MONOMER	EG11007	b0739	tolA
EG11955-MONOMER	EG11955	b4083	yjcS
MONOMER0-4287	G7243	b2380	pyrS
G7110-MONOMER	G7110	b2071	yegJ
LYSP-MONOMER	EG11337	b2156	lysP
G7059-MONOMER	G7059	b1971	msrP
CYTOCHROMEC552-MONOMER	EG11781	b4070	nrfA
MONOMER0-4288	G7244	b2381	pyrR
EG10741-MONOMER	EG10741	b4235	tldE
G7451-MONOMER	G7451	b2793	syd
G6527-MONOMER	G6527	b1018	efeO
G6252-MONOMER	G6252	b0457	pdeB
G7384-MONOMER	G7384	b2649	ypjB
EG11465-MONOMER	EG11465	b3818	yigG
G7468-MONOMER	G7468	b2848	yqeJ
EG11022-MONOMER	EG11022	b3965	trmA
G6107-MONOMER	G6107	b0223	yafJ
G7731-MONOMER	G7731	b3379	php
MONOMER0-4491	G0-17025	b4779	yoaM
EG12830-MONOMER	EG12830	b0466	ybaM
EG11915-MONOMER	EG11915	b3998	nfi
SUCCCOASYN-ALPHA	EG10982	b0729	sucD
EG10927-MONOMER	EG10927	b0397	sbcC
MONOMER0-4507	G0-17015	b4769	ybiE
G6758-MONOMER	G6758	b1447	ydcZ
G7262-MONOMER	G7262	b2427	murR
EG11142-MONOMER	EG11142	b2230	yfaA
GLTL-MONOMER	EG12663	b0652	gltL
G7568-MONOMER	G7568	b4469	ygiQ
EG11082-MONOMER	EG11082	b0030	rihC
G6160-MONOMER	G6160	b0289	ecpE
G6302-MONOMER	G6302	b0546	ybcM
G7922-MONOMER	G7922	b4325	yjiC
G7229-MONOMER	G7229	b2360	yfdQ
EG11404-MONOMER	EG11404	b1203	ychF
PHOSPHO-BASR	EG11615	b4113	basR
G6451-MONOMER	G6451	b0866	ybjQ
G6668-MONOMER	G6668	b1332	ynaJ
EG10375-MONOMER	EG10375	b3741	mnmG
EG12198-MONOMER	EG12198	b1733	chbG
YHBN-MONOMER	G7665	b3200	lptA
EG11357-MONOMER	EG11357	b0799	dinG
FECB-MONOMER	EG10287	b4290	fecB
EG11087-MONOMER	EG11087	b0097	secM
PHOQ-MONOMER	EG10732	b1129	phoQ
EG11874-MONOMER	EG11874	b3920	yiiQ
G7035-MONOMER	G7035	b1904	yecR
G7163-MONOMER	G7163	b2250	yfaZ
